Abkhazia,Europe,Republic of Abkhazia,8665,244236
Albania,Europe,Republic of Albania,28748,2876591
Andorra,Europe,Principality of Andorra,468,77281
Armenia,Europe,Republic of Armenia,29743,2924816
Austria,Europe,Republic of Austria,83858,8823054
Azerbaijan,Europe,Republic of Azerbaijan,86600,9911646
Belarus,Europe,Republic of Belarus,207560,9504700
Belgium,Europe,Kingdom of Belgium,30528,11358357
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina,51129,3531159
Bulgaria,Europe,Republic of Bulgaria,110910,7101859
Croatia,Europe,Republic of Croatia,56594,3871833
Cyprus,Europe,Republic of Cyprus,9251,1170125
Czech Republic,Europe,Czech Republic,78866,10610947
Denmark,Europe,Denmark,43094,5748796
Estonia,Europe,Republic of Estonia,45226,1328439
Finland,Europe,Republic of Finland,338455,5509717
France,Europe,French Republic,547030,67348000
Georgia (Sakartvelo),Europe,Georgia,69700,3718200
Germany,Europe,Federal Republic of Germany,357168,82800000
Greece,Europe,Hellenic Republic,131957,10297760
Hungary,Europe,Hungary,93030,9797561
Iceland,Europe,Iceland,103000,350710
Ireland,Europe,Republic of Ireland,70280,4761865
Italy,Europe,Italian Republic,301338,58968501
Kosovo,Europe,Republic of Kosovo,10910,1663595
Latvia,Europe,Republic of Latvia,64589,1862700
Liechtenstein,Europe,Principality of Liechtenstein,160,38111
Lithuania,Europe,Republic of Lithuania,65300,2800667
Luxembourg,Europe,Grand Duchy of Luxembourg,2586,602005
Malta,Europe,Republic of Malta,316,445426
Moldova,Europe,Republic of Moldova,33846,3434547
Monaco,Europe,Principality of Monaco,2.02,38400
Montenegro,Europe,Montenegro,13812,642550
Netherlands,Europe,The Netherlands,41543,17271990
North Macedonia,Europe,Republic of North Macedonia,25713,2103721
Northern Cyprus,Europe,Turkish Republic of Northern Cyprus,3355,382836
Norway,Europe,Kingdom of Norway,385203,5295619
Poland,Europe,Republic of Poland,312685,38422346
Portugal,Europe,Portuguese Republic,92212,10379537
Romania,Europe,Romania,238397,18999642
Russia (European),Europe,Russian Federation,3952550,107630419
San Marino,Europe,Republic of San Marino,61.2,33285
Serbia,Europe,Republic of Serbia,88361,7040272
Slovakia,Europe,Slovak Republic,49035,5435343
Slovenia,Europe,Republic of Slovenia,20273,2066880
South Ossetia,Europe,Republic of South Ossetia (State of Alania),3900,56520
Spain,Europe,Kingdom of Spain,505990,48692804
Sweden,Europe,Kingdom of Sweden,450295,10151588
Switzerland,Europe,Swiss Confederation,41285,8401120
Transnistria,Europe,Pridnestrovian Moldovan Republic,4163,364986
Turkey,Europe,Republic of Turkiye,23764,84680273
Ukraine,Europe,Ukraine,603628,42418235
United Kingdom,Europe,United Kingdom of Great Britain and Northern Ireland,244820,66040229
Vatican City,Europe,Vatican City State,0.44,764