Antigua and Barbuda,North America,Antigua and Barbuda,442.6,93219
Bahamas,North America,Commonwealth of the Bahamas,13940,407906
Barbados,North America,Barbados,431,281200
Belize,North America,Belize,22966,400031
Canada,North America,Canada,9984670,38155012
Costa Rica,North America,Republic of Costa Rica,51100,5153957
Cuba,North America,Republic of Cuba,110860,11256372
Dominica,North America,Commonwealth of Dominica,754,72412
Dominican Republic,North America,Dominican Republic,48730,11117873
El Salvador,North America,Republic of El Salvador,21040,6314167
Greenland,North America,Greenland,2166086,56243
Grenada,North America,Grenada,344,124610
Guatemala,North America,Republic of Guatemala,108890,17608483
Haiti,North America,Republic of Haiti,27750,11447569
Honduras,North America,Republic of Honduras,112090,10278345
Jamaica,North America,Jamaica,10991,2827695
Mexico,North America,United Mexican States,1972550,126705138
Nicaragua,North America,Republic of Nicaragua,129494,6850540
Panama,North America,Republic of Panama,78200,4351267
Saint Kitts and Nevis,North America,Federation of Saint Kitts and Nevis,261,47606
Saint Lucia,North America,Saint Lucia,616,179651
Saint Vincent and the Grenadines,North America,Saint Vincent and the Grenadines,389,104332
Trinidad and Tobago,North America,Republic of Trinidad and Tobago,5128,1525663
United States,North America,United States of America,9826630,336997624