Australia,Oceania,Commonwealth of Australia,7741220,25921089
Cook Islands,Oceania,Cook Islands,236,11124
Fiji,Oceania,Republic of Fiji,18274,924610
Kiribati,Oceania,Republic of Kiribati,811,128874
Marshall Islands,Oceania,Republic of the Marshall Islands,181,42050
Micronesia,Oceania,Federated States of Micronesia,702,113131
Nauru,Oceania,Republic of Nauru,21,10834
New Zealand,Oceania,New Zealand,267710,5129727
Niue,Oceania,Niue,260,1311
Palau,Oceania,Republic of Palau,459,18024
Papua New Guinea,Oceania,Independent State of Papua New Guinea,462840,9949437
Samoa,Oceania,Independent State of Samoa,2831,218764
Solomon Islands,Oceania,Solomon Islands,28896,707851
Tonga,Oceania,Kingdom of Tonga,747,106017
Tuvalu,Oceania,Tuvalu,26,11204
Vanuatu,Oceania,Republic of Vanuatu,12189,319137