Argentina,South America,Argentine Republic,2780400,45276780
Bolivia,South America,Plurinational State of Bolivia,1098581,12079472
Brazil,South America,Federative Republic of Brazil,8514877,214326223
Chile,South America,Republic of Chile,756102,19493184
Colombia,South America,Republic of Colombia,1138910,51516562
Ecuador,South America,Republic of Ecuador,283561,17797737
French Guiana,South America,French Guiana,83534,294071
Guyana,South America,Co-operative Republic of Guyana,214969,804567
Paraguay,South America,Republic of Paraguay,406752,6703799
Peru,South America,Republic of Peru,1285216,33715471
Suriname,South America,Republic of Suriname,163820,612985
Uruguay,South America,Oriental Republic of Uruguay,176215,3426260
Venezuela,South America,Bolivarian Republic of Venezuela,912050,28199867